injection_variance,reg_robust,rob_robust,reg_sensing_violation,rob_sensing_violation
0.000,3.48546004,2.60844588,0.01850000,0.00000000
0.015,2.11028790,2.02337408,0.07350750,0.00403500
0.025,1.77674842,1.85380328,0.10375001,0.01554500
0.035,1.54231131,1.71822393,0.12615751,0.02975000
0.045,1.36435413,1.60477281,0.14253750,0.04381750
0.055,1.22289383,1.50544322,0.15493250,0.05617750
0.065,1.10709727,1.41788805,0.16431251,0.06702249
0.075,1.01073432,1.33945167,0.17179751,0.07675251
0.085,0.92799306,1.26795542,0.17788750,0.08521251
0.095,0.85701114,1.20258260,0.18274251,0.09262000
