model,penalty,robust_minimum_user_rate_bps_hz,target_snr_mean_db,sensing_violation_probability,sensing_violation_percent
REG,0.0,1.3436462879180908,4.490310192108154,0.4909474849700928,49.09474849700928
REG,1.0,1.2976500988006592,5.318852424621582,0.3181249797344208,31.812497973442078
REG,3.0,1.4113308191299438,5.6301493644714355,0.2507324814796448,25.073248147964478
REG,5.0,1.3988027572631836,5.619248867034912,0.23557248711585999,23.557248711586
REG,7.0,1.3603479862213135,5.678207874298096,0.23175498843193054,23.175498843193054
REG,10.0,1.2571330070495605,5.736808776855469,0.21070249378681183,21.070249378681183
ROB,0.0,1.738532304763794,4.428422927856445,0.48894748091697693,48.89474809169769
ROB,0.5,1.6851966381072998,5.757713794708252,0.2061924934387207,20.61924934387207
ROB,1.0,1.6633425951004028,6.002392768859863,0.17052750289440155,17.052750289440155
ROB,2.0,1.629163146018982,6.293734550476074,0.13301999866962433,13.301999866962433
ROB,5.0,1.554324746131897,6.744203090667725,0.0861625000834465,8.61625000834465
ROB,10.0,1.4447877407073975,7.169490814208984,0.05445749685168266,5.445749685168266
